phase,exp_id,dataset,num_classes,stage1_epochs,stage2_epochs,condition,attack_type,defense_name,defense_alpha,defense_tau,defense_burn_in,manual_seed,stage1_train_top1,stage1_test_top1,mc_best_train_top1,mc_final_test_top1,mc_vs_benign_pp,mc_vs_attack_pp,vfl_utility_cost_pp,n_labeled,notes
Phase 10 CINIC10L Benign,EXP-020,CINIC10L,10,100,25,benign,none,none,,,,,0,96.73%,63.18%,65.70%,,baseline,,,40,Benign reference seed-0
Phase 10 CINIC10L Attack,EXP-021,CINIC10L,10,100,25,active_party_a,MaliciousSGD,none,,,,,0,98.37%,63.97%,86.59%,,+20.89pp,baseline,,40,Attack seed-0 — +20.89pp over benign (larger attack advantage than CIFAR-10)
Phase 10 CINIC10L Defense,EXP-022,CINIC10L,10,100,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,1.0,0.10,8,0,81.89%,63.81%,62.43%,,-3.26pp below benign ✅,-24.16pp,+0.63pp (VFL improvement),40,DEFENSE SUCCESS — zero parameter retuning from CIFAR-10 params ✅
Phase 15 CINIC10L Seed Sweep,EXP-026,CINIC10L,10,100,25,benign,none,none,,,,42,,,66.12%,,baseline,,,40,Benign seed-42 (from GPU rerun 2026-08-25; source .txt to be synced into repo)
Phase 15 CINIC10L Seed Sweep,EXP-026,CINIC10L,10,100,25,active_party_a,MaliciousSGD,none,,,,42,,,85.94%,,+19.82pp,baseline,,40,Attack seed-42 (from GPU rerun 2026-08-25; source .txt to be synced into repo)
Phase 15 CINIC10L Seed Sweep,EXP-026,CINIC10L,10,100,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,1.0,0.10,8,42,,,63.08%,,-3.04pp below benign ✅,-22.86pp,,40,Defended seed-42 < benign ✅ (from GPU rerun 2026-08-25; source .txt to be synced into repo)
Phase 15 CINIC10L Seed Sweep,EXP-027,CINIC10L,10,100,25,benign,none,none,,,,123,,,64.88%,,baseline,,,40,Benign seed-123 (from GPU rerun 2026-08-25; source .txt to be synced into repo)
Phase 15 CINIC10L Seed Sweep,EXP-027,CINIC10L,10,100,25,active_party_a,MaliciousSGD,none,,,,123,,,87.21%,,+22.33pp,baseline,,40,Attack seed-123 (from GPU rerun 2026-08-25; source .txt to be synced into repo)
Phase 15 CINIC10L Seed Sweep,EXP-027,CINIC10L,10,100,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,1.0,0.10,8,123,,,61.95%,,-2.93pp below benign ✅,-25.26pp,,40,Defended seed-123 < benign ✅ (from GPU rerun 2026-08-25; source .txt to be synced into repo)
Phase 15 CINIC10L Seed Sweep,EXP-028,CINIC10L,10,100,25,benign,none,none,,,,456,,,66.35%,,baseline,,,40,Benign seed-456 (from GPU rerun 2026-08-25; source .txt to be synced into repo)
Phase 15 CINIC10L Seed Sweep,EXP-028,CINIC10L,10,100,25,active_party_a,MaliciousSGD,none,,,,456,,,86.31%,,+19.96pp,baseline,,40,Attack seed-456 (from GPU rerun 2026-08-25; source .txt to be synced into repo)
Phase 15 CINIC10L Seed Sweep,EXP-028,CINIC10L,10,100,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,1.0,0.10,8,456,,,63.41%,,-2.94pp below benign ✅,-22.90pp,,40,Defended seed-456 < benign ✅ (from GPU rerun 2026-08-25; source .txt to be synced into repo)
Phase 15 CINIC10L Seed Sweep,EXP-022/026/027/028,CINIC10L,10,100,25,MEAN_4seeds,MaliciousSGD/none,AsymmetricAdaptivePerturbation,1.0,0.10,8,all,,,62.72%±0.65% (defended),,-3.04pp (mean vs benign 65.76±0.65%),-23.80pp,,40,4/4 seeds defended < benign. Benign 65.76±0.65%; Attack 86.51±0.54%; Defended 62.72±0.65%. PUBLISHABLE MULTI-SEED RESULT ✅
